GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize,Game,Year
23741,Esports Championship Series Season 3 - Finals,6/23/2017,6/25/2017,London,United Kingdom,1,660000,CSGO,2017
26155,Esports Championship Series Season 4 - Finals,12/14/2017,12/17/2017,Cancun,Mexico,1,660000,CSGO,2017
28153,Esports Championship Series Season 5 - Finals,6/8/2018,6/10/2018,London,United Kingdom,1,660000,CSGO,2018
30727,Esports Championship Series Season 6 - Finals,11/22/2018,11/25/2018,N/A,Online,1,660000,CSGO,2018
24392,Quake World Championship 2017: Sacrifice Tournament,8/24/2017,8/26/2017,Dallas,United States,1,660000,Quake,2017
43695,Overwatch League 2020 - Playoffs - North America,9/3/2020,9/13/2020,N/A,Online,1,625000,Overwatch,2020
44179,FNCS : C2S4 Grand Finals EU,10/31/2020,11/1/2020,N/A,Europe,1,622000,Fortnite,2020
27207,V4 Future Sports Festival 2018 (CS:GO),3/23/2018,3/25/2018,Budapest,Hungary,1,617870,CSGO,2018
22716,DAC 2017,3/27/2017,4/4/2017,Shanghai,China,1,611987,Dota 2,2017
43123,LPL Summer 2020,6/5/2020,8/27/2020,N/A,China,1,609364.9,LOL,2020
39551,ESL Pro League Season 10: Finals,12/3/2019,12/8/2019,Odense ,Denmark,1,600000,Dota 2,2019
35465,ESL Pro League Season 9: Finals,6/18/2019,6/23/2019,Montpellier,France,1,600000,Dota 2,2019
41936,FNCS Invitational - Grand Finals: Europe,5/2/2020,5/24/2020,N/A,Online,0,600000,Fortnite,2020
35445,Fortnite World Cup 2019 - Week 10 - NA East,6/20/2019,6/21/2019,N/A,Online,1,600000,Fortnite,2019
35227,Fortnite World Cup 2019 - Week 9 - NA East,6/8/2019,6/9/2019,N/A,Online,0,600000,Fortnite,2019
41874,Mid-Season Cup 2020,5/28/2020,5/31/2020,N/A,Online,1,600000,LOL,2020
33218,NBA 2K League 2018 Playoffs,8/17/2018,8/25/2018,New York City,United States,1,600000,NBA2k,2018
45307,Smite World Championship 2021,1/8/2021,1/1/2021,N/A,Online,1,600000,Smite,2021
20993,World Cyber Arena 2016 (Dota 2),12/14/2016,12/16/2016,Yinchuan,China,1,596226.1,Dota 2,2016
32951,AoV International Championship 2018,11/23/2018,12/16/2018,Bangkok/Ho Chi Minh City,Thailand/Vietnam,1,590000,Arena Of Valor,2018
20372,ESL Pro League Season 4: Finals,10/26/2016,10/30/2016,São Paulo,Brazil,1,580000,Dota 2,2016
41966,Fortnite Champion Series - Chapter 2 - Season 1 - Gbrand Finals: NA East,12/8/2019,12/8/2019,N/A,Online,1,574500,Fortnite,2019
27579,LPL Spring 2018,1/15/2018,4/28/2018,N/A,China,1,552695.5,LOL,2018
18248,LPL Spring 2016,1/14/2016,4/23/2016,N/A,China,1,540291.5,LOL,2016
28720,Fortnite Summer Skirmish Series - Week 2 EU,7/21/2018,7/21/2018,N/A,Online,0,540000,Fortnite,2018
29618,LPL Summer 2018,6/11/2018,9/14/2018,N/A,China,1,539595,LOL,2018
41052,ESL Pro League Season 11: Europe,3/16/2020,4/12/2020,N/A,Online,1,531000,Dota 2,2020
45541,Honor of Kings Champion Cup Winter 2020,1/7/2021,1/23/2021,Zhengzhou / Shenzhen,China,1,530400,Arena Of Valor,2021
28717,Fortnite Summer Skirmish Series - Week 2 NA,7/20/2018,7/20/2018,N/A,Online,0,530000,Fortnite,2018
35480,RLCS Season 7 - Finals,6/21/2019,6/23/2019,Newark,United States,1,529500,Rocket League,2019
39685,RLCS Season 8 - Finals,12/13/2019,12/15/2019,Madrid,Spain,1,529500,Rocket League,2019
19389,LPL Summer 2016,5/26/2016,8/26/2016,N/A,China,1,526799,LOL,2016
24433,LPL Summer 2017,6/8/2017,9/1/2017,N/A,China,1,525353.5,LOL,2017
42095,Fortnite Champion Series - Chapter 2 - Season 2 - Gbrand Finals: Europe,4/19/2020,4/19/2020,N/A,Online,1,524000,Fortnite,2020
27039,IEM XII - World Championship (CS:GO),2/27/2018,3/4/2018,Katowice ,Poland,1,524000,CSGO,2018
33931,LPL Spring 2019,1/14/2019,4/21/2019,N/A,China,1,520100,LOL,2019
40668,Honor of Kings Champion Cup Winter 2019,12/21/2019,1/4/2020,Macau/Guangzhou,China,1,518760,Arena Of Valor,2020
18500,ESL Pro League S3 Finals,5/11/2016,5/15/2016,Leicester,United Kingdom,1,513130,Dota 2,2016
1999,CPL World Tour Finals 2005,11/20/2005,11/22/2005,New York City,United States,0,510000,PainKiller,2005
